Title,Production type,Status,Origin,Market presence,Age of production,Web page Link,Image Link
SIX: The Musical,Musical,Active,All Female Cast,USA,"Feb 13, 2020",https://www.ibdb.com/broadway-production/six-the-musical-523485,https://www.broadway.org/assets/shows/six-broadway-1000.jpg?width=2000&quality=80&fit=scale-down
SMASH,Musical,Active,Original,USA,"Mar 11, 2025",https://www.ibdb.com/broadway-production/smash-540710,https://www.broadway.org/assets/shows/smash-2025_2025-01-24-213944_retn.jpg?width=2000&quality=80&fit=scale-down
Stephen Sondheim's Old Friends,Musical,Active,Original,USA,"Mar 25, 2025",https://www.ibdb.com/broadway-production/stephen-sondheims-old-friends-539390,https://www.broadway.org/assets/shows/oldfriends.jpg?width=2000&quality=80&fit=scale-down
Stranger Things: The First Shadow,Play,Active,Original,USA,"Mar 28, 2025",https://www.ibdb.com/broadway-production/stranger-things-the-first-shadow-540113,https://www.broadway.org/assets/shows/strangerthings-1000_2024-08-07-190429_rwbv.jpg?width=2000&quality=80&fit=scale-down
Sunset Boulevard,Musical,Active,Revival,USA,"Sep 28, 2024",https://www.ibdb.com/broadway-production/sunset-boulevard-539163,https://www.broadway.org/assets/shows/sunset-1000.jpg?width=2000&quality=80&fit=scale-down
The Book of Mormon,Musical,Active,Comedy,USA,"Feb 24, 2011",https://www.ibdb.com/broadway-production/the-book-of-mormon-488721,https://www.broadway.org/assets/shows/bookofmormon-1000.jpg?width=2000&quality=80&fit=scale-down
The Great Gatsby,Musical,Active,Original,USA,"Mar 29, 2024",https://www.ibdb.com/broadway-production/the-great-gatsby-538662,https://www.broadway.org/assets/shows/gatsby-1000-update.jpg?width=2000&quality=80&fit=scale-down
The Last Five Years,Musical,Active,Original,USA,"Mar 18, 2025",https://www.ibdb.com/broadway-production/the-last-five-years-540016,https://www.broadway.org/assets/shows/thelastfiveyears.jpg?width=2000&quality=80&fit=scale-down
The Lion King,Musical,Active,Puppets,USA,"Oct 15, 1997",https://www.ibdb.com/broadway-production/the-lion-king-4761,https://www.broadway.org/assets/shows/thelionking-24.jpg?width=2000&quality=80&fit=scale-down
The Outsiders,Musical,Active,Original,USA,"Mar 16, 2024",https://www.ibdb.com/broadway-production/the-outsiders-537824,https://www.broadway.org/assets/shows/outsiders1000.jpg?width=2000&quality=80&fit=scale-down
The Picture of Dorian Gray,Play,Active,Original,USA,"Mar 10, 2025",https://www.ibdb.com/broadway-production/the-picture-of-dorian-gray-540658,https://www.broadway.org/assets/shows/doriangray-1000b.png?width=2000&quality=80&fit=scale-down
